f1,precision,recall,accuracy
0.84,0.85,0.83,0.83
0.87,0.87,0.87,0.87
0.91,0.86,0.96,0.96
0.83,0.84,0.81,0.81
0.86,0.86,0.86,0.86
0.78,0.79,0.77,0.77
0.76,0.74,0.78,0.78
0.83,0.82,0.83,0.83
0.85,0.85,0.86,0.86
0.83,0.79,0.88,0.88
0.77,0.79,0.75,0.75
0.78,0.78,0.78,0.78
