f1,precision,recall,accuracy
0.75,0.7,0.79,0.79
0.73,0.69,0.77,0.77
0.77,0.77,0.77,0.77
0.77,0.78,0.76,0.76
0.74,0.73,0.75,0.75
0.7,0.71,0.69,0.69
0.62,0.62,0.62,0.62
0.77,0.71,0.85,0.85
0.77,0.8,0.74,0.74
0.77,0.81,0.73,0.73
0.54,0.73,0.43,0.43
0.63,0.54,0.77,0.77
