f1,precision,recall,accuracy
0.83,0.81,0.85,0.85
0.86,0.85,0.86,0.86
0.89,0.89,0.88,0.88
0.89,0.89,0.89,0.89
0.86,0.84,0.88,0.88
0.82,0.82,0.82,0.82
0.78,0.79,0.78,0.78
0.85,0.86,0.83,0.83
0.88,0.88,0.88,0.88
0.88,0.86,0.91,0.91
0.81,0.83,0.79,0.79
0.82,0.83,0.81,0.81
