f1,precision,recall,accuracy
0.83,0.8,0.86,0.86
0.85,0.85,0.86,0.86
0.89,0.88,0.89,0.89
0.89,0.89,0.88,0.88
0.87,0.86,0.88,0.88
0.82,0.82,0.82,0.82
0.77,0.79,0.76,0.76
0.84,0.85,0.83,0.83
0.88,0.88,0.89,0.89
0.87,0.84,0.9,0.9
0.8,0.84,0.77,0.77
0.82,0.82,0.82,0.82
