"party","election","num_speeches","wf_score","wf_se"
"AfD",2013,8,-0.771313357148473,0.411432653180963
"AfD",2017,90,0.810864531207512,0.0927083521526618
"AfD",2021,159,0.722941018388818,0.0778377314046937
"Alliance 90/Greens",1998,460,0.373598188470814,0.0470049502412387
"Alliance 90/Greens",2002,284,0.237341877154186,0.0634780360070928
"Alliance 90/Greens",2005,406,-0.0167125537170964,0.0517611541945571
"Alliance 90/Greens",2009,659,-0.582106135454855,0.0436437429293356
"Alliance 90/Greens",2013,1260,-0.858401822005394,0.0314606405611202
"Alliance 90/Greens",2017,989,-1.15018911135299,0.0344933349770008
"Alliance 90/Greens",2021,913,-1.15332258227033,0.0337625828848262
"CDU/CSU",1998,75,1.07192793067043,0.0936045273092863
"CDU/CSU",2002,184,0.841952973564871,0.0640101991101814
"CDU/CSU",2005,75,0.604779559553572,0.116052944651455
"CDU/CSU",2009,179,0.877469538082905,0.0674307538330768
"CDU/CSU",2013,309,0.419580057838986,0.0536763473420889
"CDU/CSU",2017,192,0.282282684467522,0.0734859358296372
"CDU/CSU",2021,410,0.0596568446936293,0.0528070638683361
"FDP",1998,228,1.18176241788971,0.0525761845931945
"FDP",2002,253,1.09676870200727,0.0491855854786638
"FDP",2005,144,0.992070871636474,0.0682742169475876
"FDP",2009,213,1.07092944712435,0.0559336424724194
"FDP",2013,262,0.410820001937135,0.060992908579121
"FDP",2017,362,0.657956080179587,0.0485288798100012
"FDP",2021,447,0.888372586845588,0.0421589735723034
"SPD",1998,251,1.22320226338223,0.0475490104049785
"SPD",2002,233,0.914175793279013,0.0600018860994063
"SPD",2005,178,0.490702834402669,0.0769769207281315
"SPD",2009,499,-0.0902413566289295,0.0517342720227219
"SPD",2013,795,-0.357822247901075,0.0404075861869189
"SPD",2017,605,-0.364346749245296,0.0456892934440822
"SPD",2021,530,-0.937487066642207,0.0476397624701778
"The Left",1998,266,0.042467213803993,0.0642687174115083
"The Left",2002,207,-0.0646145451439481,0.0707487120218452
"The Left",2005,163,-0.580797757393511,0.0851070315277056
"The Left",2009,484,-1.52694821403372,0.0514785935728743
"The Left",2013,860,-2.11279555128848,0.0283076219252538
"The Left",2017,1601,-2.35207704278834,0.0162606143440855
"The Left",2021,1794,-2.35244732356661,0.0152035562594588
