"","party","election","num_speeches","wf_score","wf_se"
"1","AfD",2013,1,-0.619859607853495,0.696225377818331
"2","AfD",2017,125,0.037124242262337,0.110462911499324
"3","AfD",2021,182,0.0819212593417059,0.0909494874606001
"4","CDU/CSU",1998,45,1.01581035915914,0.0709250056409452
"5","CDU/CSU",2002,108,0.888316279070937,0.0630951362397551
"6","CDU/CSU",2005,95,0.976044076706711,0.0573607083042832
"7","CDU/CSU",2009,234,0.835026761631217,0.0509043432085116
"8","CDU/CSU",2013,294,0.557861295549777,0.0551260335506953
"9","CDU/CSU",2017,161,0.326582921761702,0.082938057571859
"10","CDU/CSU",2021,310,0.444915561832404,0.0612076607988387
"11","Die Grünen",1998,154,0.492930099344631,0.0855178103077393
"12","Die Grünen",2002,96,0.372711559861702,0.10925878072547
"13","Die Grünen",2005,120,0.680034896600315,0.0785190192930531
"14","Die Grünen",2009,303,-0.422348030879331,0.0698084999332234
"15","Die Grünen",2013,477,-0.654059902728014,0.0542381537048113
"16","Die Grünen",2017,440,-0.984359990904034,0.0548305356059246
"17","Die Grünen",2021,377,-0.956872614207339,0.0573589323746172
"18","FDP",1998,204,1.01829290176591,0.0340725762332332
"19","FDP",2002,206,1.09505628585828,0.024262103798852
"20","FDP",2005,175,1.16614298952571,0.0202248742891661
"21","FDP",2009,374,1.12541026755169,0.0170399408595979
"22","FDP",2013,318,0.795001509454354,0.0460508115680137
"23","FDP",2017,426,0.844637303590108,0.0346376358052926
"24","FDP",2021,280,0.88960074914116,0.039834412828266
"25","PDS/Die Linke",1998,54,-0.911149897224368,0.148753178757669
"26","PDS/Die Linke",2002,42,-0.560183778894366,0.174588361752887
"27","PDS/Die Linke",2005,37,-1.12617445438163,0.180487542444927
"28","PDS/Die Linke",2009,173,-1.82616600542695,0.0794618536575564
"29","PDS/Die Linke",2013,269,-2.10512142485683,0.0519922422595676
"30","PDS/Die Linke",2017,544,-2.05408624924023,0.0403151361882108
"31","PDS/Die Linke",2021,519,-2.13051680656422,0.0392440457745699
"32","SPD",1998,90,0.884890870257142,0.0732572745170682
"33","SPD",2002,103,0.484536199875078,0.115833264646404
"34","SPD",2005,59,1.00907512135628,0.0617266965510036
"35","SPD",2009,252,0.0568879368774756,0.0752071567505754
"36","SPD",2013,386,-0.445169380944648,0.0587677882952566
"37","SPD",2017,319,-0.333706647544272,0.0664491874790961
"38","SPD",2021,121,-0.949036656726042,0.105055646295883
