party,election,cs_mean_d1,cs_mean_d2,cs_se_d1,cs_se_d2,lr_log
41113,1998,5.320537,6.3138657,0.4332534349002212,0.26233099606547106,-5.342334251964811
41113,2002,4.5700383,6.4378777,0.4218746872172673,0.16469920732833737,-5.673323267171493
41113,2005,5.342856,6.1842923,0.42845676481090766,0.14569173334712784,-5.831882477283517
41113,2009,5.7222924,6.4205194,0.2493871700431587,0.09494478710855157,-6.642486801367256
41113,2013,6.0236974,6.3838887,0.21595539035131084,0.0852903532494082,-7.04141166379481
41113,2017,5.7794113,6.282646,0.27733310973960607,0.1310125227006558,-6.53813982376767
41113,2021,4.4798837,6.382355,0.26055182062528287,0.13523918942422566,-6.447305862541214
41221,1998,4.670541,5.6627517,1.2495841579797733,0.517008086173581,-3.713572066704308
41221,2002,3.8043346,6.2923946,1.0246983766555786,0.4411872327327728,-3.295836866004329
41222,2005,4.531006,5.6912327,1.0128148279794638,0.2922549489381039,-4.31748811353631
41223,2009,6.8326445,6.2896495,0.5300356481593032,0.18165936602356375,-5.220355825078325
41223,2013,6.2173843,6.2663517,0.4008497832020773,0.19069651388090558,-5.525452939131784
41223,2017,5.1431355,6.2817106,0.46511693276437893,0.2115177011228262,-5.556828061699538
41223,2021,5.1109476,6.466038,0.2818901581557819,0.15755139966956833,-6.129050210060545
41320,1998,6.336832,6.0026145,1.000747415097221,0.209943504456133,-4.110873864173311
41320,2002,2.969338,6.2430224,0.9093771671405658,0.27597280414409686,-3.970291913552122
41320,2005,4.9230905,5.887159,0.7724218655301808,0.1878814705485286,-4.343805421853684
41320,2009,5.0239515,6.1070404,0.48438522778596316,0.18890609840511524,-5.451038453565701
41320,2013,5.8325787,6.130558,0.43813170528305584,0.165656786689356,-5.53338948872752
41320,2017,3.592706,6.395557,0.4357993864650701,0.2771448823465742,-5.056245805348309
41320,2021,3.5271769,6.4334707,0.41970942681882034,0.2835448081818975,-4.762173934797756
41420,1998,6.265646,6.4016976,0.5799572694661143,0.28267135462773335,-4.962844630259907
41420,2002,6.1323476,6.4592285,0.8262410009335988,0.2860778714373411,-4.31748811353631
41420,2005,5.001507,6.3661833,0.9131134948347822,0.22321745633963866,-4.31748811353631
41420,2009,5.6406364,6.155284,0.4637191534072402,0.20104523941367144,-5.424950017481403
41420,2013,5.854187,6.168512,0.5125635959881,0.21307215510213487,-5.262690188904886
41420,2017,5.011178,6.7976027,0.9836738109588623,0.32627006371816,-4.290459441148391
41420,2021,5.636444,6.33151,0.4011500358581543,0.2283259630203247,-5.272999558563747
41521,1998,5.383738,6.7789564,1.5297342538833618,0.31230658292770386,-3.295836866004329
41521,2002,5.8868613,6.229479,0.9296321556648524,0.23644188516813436,-4.51085950651685
41521,2005,4.9184284,5.9500747,1.3876329904564932,0.2044619914672545,-3.850147601710059
41521,2009,4.958791,6.263109,0.4812386814460972,0.19171527044367428,-5.459585514144159
41521,2013,5.298504,6.279093,0.47299743283260187,0.18078534527878076,-5.525452939131784
41521,2017,4.8359966,6.874281,0.6376910438871916,0.31152207415066147,-4.532599493153255
41521,2021,5.063651,6.440713,0.4933169994132626,0.19287040158569566,-5.4680601411351315
41912,2021,5.637356,6.111441,0.436144487285443,0.2063355410071208,-5.493061443340548
41952,2013,6.6781287,6.27822,0.46229049973822506,0.25334081712822154,-5.342334251964811
41953,2017,5.849705,6.7890387,0.6600194573402405,0.8009723424911499,-3.4339872044851463
41953,2021,4.304996,7.0086465,0.8059587294351523,0.44618019210883514,-4.3694478524670215
