party,election,cs_mean_d1,cs_mean_d2,cs_se_d1,cs_se_d2,lr_log,topic
41113,1998,8.883844,12.443692,1.0424845741552078,0.3686183378516947,-2.7200985396183848,military
41113,2002,6.0879946,12.266861,2.3577085298657234,0.7907975253935386,-0.5663954749208013,military
41113,2005,8.927833,12.637261,1.4506417910257976,0.6567556063334147,-2.9789251552376097,military
41113,2009,9.596217,13.794022,1.2975602645482949,0.386415144565771,-2.356652314264321,military
41113,2013,8.549786,13.044985,1.3520350473103473,0.5108649291778413,-1.64362927718238,military
41113,2017,6.6036234,13.04892,2.064754765736675,0.6307070187557686,-0.751416088683921,military
41113,2021,4.0707355,14.353088,1.9922200548596638,0.42777214008070824,-0.14571181118139398,military
41221,1998,9.495155,11.90265,1.4501479466756184,0.6437323093414307,-3.0445224377234226,military
41221,2002,9.561116,12.221472,1.4944404976504388,0.5037502076009013,-4.343805421853684,military
41222,2005,10.606491,13.17485,0.34843167036035133,0.6032038670329546,-3.7612001156935624,military
41223,2009,10.914133,12.614558,0.15395113178280037,0.39225305397723653,-4.31748811353631,military
41223,2013,10.718843,12.899576,0.13099670231854352,0.36945776293893057,-5.1647859739235145,military
41223,2017,10.906222,12.686435,0.12017045076141881,0.32125261719976095,-5.25227342804663,military
41223,2021,10.662601,12.828566,0.32388655407239414,0.24998056968754856,-4.697445462097262,military
41320,1998,1.3516569,13.835886,3.8218722482363656,1.1437727097183565,0.8209805520698303,military
41320,2002,-1.579812,14.598863,1.6305448726737273,0.25895737824813736,1.6094379124341005,military
41320,2005,5.152214,13.035557,5.359928517972894,1.3031059689395716,-0.4519851237430572,military
41320,2009,5.3751926,14.18882,2.5368968645731607,0.709044615427653,-0.9057086225436182,military
41320,2013,6.7451906,13.299703,2.525145227307143,0.8123915199886271,-1.0459685551826876,military
41320,2017,4.4033465,14.248825,2.1476532694314345,0.5292118110087659,-0.4321333551903259,military
41320,2021,4.0337315,14.215462,2.554286321004232,0.5838386615117391,-0.05884050002293373,military
41420,1998,2.6686628,13.919397,2.4448828067532746,0.6294583717888675,0.13657553500575093,military
41420,2002,-2.4707453,14.501279,1.442982644930365,0.6098860153241878,2.624668592163159,military
41420,2005,1.3036541,13.388075,3.2308357562479024,1.2693790856153875,0.48954822531870557,military
41420,2009,0.36002383,13.94666,2.0373510920934983,0.7254069038248102,0.6268977950187451,military
41420,2013,4.4745483,13.741274,2.60385799407959,0.6056090593338013,-0.3150810466398952,military
41420,2017,0.76352245,14.087486,2.498067306241657,0.7264223241496154,1.1574527886910433,military
41420,2021,-0.18683563,14.273748,2.0243312766841894,0.505227125284724,1.0663514264498883,military
41521,1998,-4.3314514,15.141303,0.5616537430839144,0.41373634364173223,3.970291913552122,military
41521,2002,-3.355939,15.135952,0.9030750423110845,0.2808067826549413,3.745574797790481,military
41521,2005,-2.0785623,14.571497,2.995904508430518,1.3021523637435355,2.2686835413183646,military
41521,2009,-4.75425,15.608823,0.34620691073340476,0.29195800740585987,4.31748811353631,military
41521,2013,-1.0638036,15.270576,1.9405602419323296,0.44735966756661694,1.3499267169490157,military
41521,2017,-4.100299,15.663006,0.4180071751276652,0.331163227558136,4.23410650459726,military
41521,2021,-3.0382857,15.126207,0.8545986175537109,0.207987642288208,2.8115908800430507,military
41912,2021,2.2262645,13.687451,7.903595522025529,1.8216724350370141,0.33647223662121295,military
41952,2013,10.48599,11.704467,0.11393209027618104,0.4686375616773818,-3.9318256327243257,military
41953,2017,-4.451396,15.549431,0.18426254401019637,0.4180226016883503,3.713572066704308,military
41953,2021,-1.4991664,14.829822,1.6316072633296277,0.44062731602810434,1.6613976513648114,military
