party,election,cs_mean_d1,cs_mean_d2,cs_se_d1,cs_se_d2,lr_log,topic
41113,1998,6.043233,11.836992,0.5917718661523557,0.17974540043909107,-5.342334251964811,environment protection
41113,2002,6.057189,11.851109,0.4985989625410651,0.1413835625878562,-5.673323267171493,environment protection
41113,2005,5.0733776,12.011056,0.49404523097088515,0.12711463431659337,-5.831882477283517,environment protection
41113,2009,4.671484,12.057686,0.3054420752576919,0.08529849720158744,-6.642486801367256,environment protection
41113,2013,4.7506857,11.734063,0.2715123472208946,0.07681839418346406,-7.04141166379481,environment protection
41113,2017,5.3407135,11.64169,0.36014621548265885,0.0974712905031864,-6.53813982376767,environment protection
41113,2021,6.3659797,11.794574,0.3371535945667674,0.10914982530164284,-6.447305862541214,environment protection
41221,1998,6.471133,11.955879,1.5063123245349987,0.4402882581278176,-3.713572066704308,environment protection
41221,2002,7.390079,12.306675,0.6899327635765076,0.26587313413619995,-3.295836866004329,environment protection
41222,2005,6.0019026,11.99777,0.9954653300401797,0.16033464905326633,-4.31748811353631,environment protection
41223,2009,3.5882475,12.0301895,0.6333751898090125,0.11296389225629076,-5.220355825078325,environment protection
41223,2013,5.188414,11.71608,0.4836973797046081,0.13737289012737736,-5.525452939131784,environment protection
41223,2017,5.6413765,11.547424,0.5771683755947852,0.13947492487761198,-5.556828061699538,environment protection
41223,2021,6.2157993,11.965817,0.3631112943545045,0.1339327155419113,-6.129050210060545,environment protection
41320,1998,4.566919,12.022044,1.3218553187698383,0.21314084867786645,-4.110873864173311,environment protection
41320,2002,7.2447844,12.052148,1.1978316496865207,0.1966220579220893,-3.970291913552122,environment protection
41320,2005,5.462265,12.005674,0.8754989907546458,0.1894816638494631,-4.343805421853684,environment protection
41320,2009,5.6845922,11.935884,0.6204532984083793,0.1571017455357889,-5.451038453565701,environment protection
41320,2013,4.8983526,11.73177,0.5680553085235267,0.159972051372343,-5.53338948872752,environment protection
41320,2017,7.817727,11.702218,0.4885517852406471,0.22868548689064572,-5.056245805348309,environment protection
41320,2021,7.242401,12.37562,0.5055349132397259,0.2769321576592481,-4.762173934797756,environment protection
41420,1998,4.628349,12.071212,0.8495136768511167,0.1804401274671028,-4.962844630259907,environment protection
41420,2002,2.977448,12.245669,1.0271762881363697,0.25787647424500054,-4.31748811353631,environment protection
41420,2005,5.7272325,12.361753,0.8526066344765227,0.30516666566778183,-4.31748811353631,environment protection
41420,2009,5.272735,11.646612,0.5273462325316426,0.13118252094174496,-5.424950017481403,environment protection
41420,2013,4.86095,11.628131,0.690328142814608,0.16369742675293394,-5.262690188904886,environment protection
41420,2017,5.502517,11.78594,1.0314732392628987,0.34987060228983563,-4.290459441148391,environment protection
41420,2021,4.7281337,11.676182,0.616745901107788,0.17834073305130005,-5.272999558563747,environment protection
41521,1998,6.4399533,12.33801,1.8712300062179565,0.2607818841934204,-3.295836866004329,environment protection
41521,2002,4.7197924,11.918176,0.9865780429892035,0.24289718511603997,-4.51085950651685,environment protection
41521,2005,5.6613517,12.047975,1.601300148162065,0.22656751105936035,-3.850147601710059,environment protection
41521,2009,5.817534,11.966551,0.5951302069067155,0.15848250616732149,-5.459585514144159,environment protection
41521,2013,5.1758213,11.924019,0.5659839173597618,0.15950667640779784,-5.525452939131784,environment protection
41521,2017,5.5833497,12.155644,0.8723444120054497,0.28515464065597124,-4.532599493153255,environment protection
41521,2021,5.7751,11.951136,0.5304610581081083,0.17973989874590182,-5.4680601411351315,environment protection
41912,2021,5.22919,11.7234125,0.5460169400576742,0.17845751078015779,-5.493061443340548,environment protection
41952,2013,4.33805,11.503392,0.6341057540537787,0.15122706586079732,-5.342334251964811,environment protection
41953,2017,5.838149,12.043411,1.3981812000274658,0.5926632285118103,-3.4339872044851463,environment protection
41953,2021,7.977627,11.173899,0.8091258293323151,0.28078869699354286,-4.3694478524670215,environment protection
