country,year,cs_mean_d1,cs_mean_d2,cs_se_d1,cs_se_d2
Austria,1945,15.613449,-2.270131,2.2821630405713424,0.2393334691664634
Austria,1949,9.608419,-1.1443082,2.2789769298648843,0.6000535349935466
Austria,1953,11.047749,-1.0664582,2.89287853840832,1.1030331374831355
Austria,1956,10.386892,-1.8126259,2.5953062057495115,0.25052542686462403
Austria,1959,12.217103,-1.3610883,2.562249184199188,0.8058512763904234
Austria,1963,12.147977,-2.1159694,1.5726592787420681,0.15939762146389425
Austria,1983,6.678258,0.08582772,1.5429431289854658,0.7466770477076716
Austria,1987,8.869633,0.89740413,0.8345464191889611,0.45031070409208646
Austria,1990,7.232579,-0.33335805,0.6822401059603715,0.2911957212719852
Austria,1994,8.291608,0.92577016,0.863917376515238,0.48006359600721793
Austria,1996,7.264399,0.9855138,0.8968403275132615,0.4831971402625417
Austria,2000,6.512245,0.26289716,0.579768622154038,0.27722388935884545
Austria,2003,5.2386866,0.42534512,0.8734438536482996,0.42509355866462917
Austria,2007,5.6679497,-0.8108952,0.5742231657995317,0.22615410344403236
Austria,2008,7.464432,-0.77654356,0.45223703322104536,0.18447723761045187
Austria,2013,5.60656,-0.38983825,0.5893671021142665,0.25034753101306917
Belgium,1966,3.7905283,8.668567,0.9882393211568755,0.7793579477693796
Belgium,1968,-0.16741687,13.330459,0.9269431486249265,0.3378714069951816
Belgium,1972,1.3566182,12.218908,0.863107205542941,0.45234700874530676
Belgium,1973,-0.6780223,11.739886,0.6348815346939767,0.3926539646554621
Belgium,1974,1.1322798,10.688509,0.8560619572781052,0.6188168584908186
Belgium,1977,2.4849203,12.596878,0.7383689520473996,0.4001478808110703
Belgium,1979,3.3663304,11.174652,0.7420151256098413,0.46566409624112554
Belgium,1980,2.2256334,11.019226,0.5065868378010724,0.3388106939919486
Belgium,1981,7.226318,8.799207,1.0707981434864298,0.922345821267743
Belgium,1985,4.400915,10.9037485,0.8506045514342647,0.5710201685419252
Belgium,1988,2.3434904,12.22934,0.5366014005565617,0.28706571789602103
Belgium,1992,2.743895,11.047383,1.1012364654246225,0.7717253461677234
Belgium,1995,5.289027,13.240271,0.7983207348327147,0.39228720673436657
Belgium,1999,4.975505,14.05602,0.8873567234698166,0.3150100314573287
Belgium,2003,4.962999,13.673263,0.7163824686753746,0.3152021073214883
Belgium,2007,3.243991,12.5220995,0.8356757112322248,0.5009305826818451
Belgium,2008,3.4938033,13.041782,0.9412767580768955,0.48714988905566947
Belgium,2011,3.2602603,12.006223,0.4747234461532895,0.27775634214182243
Belgium,2014,7.2321577,13.22658,0.45911722916823167,0.23745289215674767
Denmark,1993,2.6659796,0.2484704,1.3974609375,0.7749757289886474
Denmark,1994,1.6759272,0.71645445,1.4825142556517699,0.8977931706963522
Denmark,1998,0.6600271,-0.9663587,1.1117645388735409,0.5183070207377771
Denmark,2001,3.0429227,0.6711453,0.9176445007324219,0.5415618896484375
Denmark,2005,4.454911,-0.6106646,0.7053758821661512,0.3600279588257504
Denmark,2007,4.158864,-0.97558594,0.6853216895753297,0.32284551941609785
Denmark,2009,2.538668,1.5637912,0.808224233682979,0.5421035262626392
Denmark,2011,1.3095208,0.64350307,0.6145364009399107,0.3676936257457786
Finland,1945,4.24441,0.29826698,2.7476245648819537,1.7987733058341133
Finland,1946,3.5502968,1.4305984,2.691830425029939,1.937305629478735
Finland,1950,4.19025,-1.7613071,2.969307967319877,1.4517794418214411
Finland,1951,4.0349517,-1.5262724,2.4226554734579615,1.2448297439890121
Finland,1953,7.3205795,2.6761534,3.014084574880988,2.5687997209212234
Finland,1954,0.087768555,-0.72886604,2.1738481521606445,1.396568202972412
Finland,1956,3.1319733,-2.0016484,2.7208582268982933,1.276676684257069
Finland,1957,7.296584,2.069135,2.1047710732171887,1.7254116230501695
Finland,1958,7.6625953,-0.7273661,1.651297102875313,0.9467859675464724
Finland,1962,2.4467592,-2.387232,2.3781654751128647,0.9480661522944304
Finland,1964,3.1064923,1.1405327,2.860119581222534,2.155850648880005
Finland,1966,4.893623,-1.5546547,2.2910516831215655,1.2470252914602467
Finland,1968,5.5643125,-0.71296054,1.8436043515620002,1.017010301703202
Finland,1970,5.2117324,-2.0307765,1.5357491970062256,0.7233104705810547
Finland,1972,4.9723134,-2.8870854,1.4669070134721633,0.5107883343051476
Finland,1975,11.63316,-2.4851182,3.969289779663086,2.1850571632385254
Finland,1976,6.026478,-1.8280613,3.2882845401763916,1.738976001739502
Finland,1977,7.798004,1.2882997,2.221124606122602,1.6969706367311361
Finland,1979,7.707229,-2.1562426,1.7025511107204696,0.8705317569314757
Finland,1982,6.746389,-0.5903007,1.892304168497687,1.1244069201323705
Finland,1983,5.551221,-2.084514,1.390724412339402,0.7139443755569805
Finland,1987,5.99651,-3.084485,1.2153650704422214,0.544568465396755
Finland,1991,3.9715192,-2.6042278,1.218127520828371,0.568179942932437
Finland,1995,5.255149,-2.1379244,1.0771856408879885,0.5772204488656094
